Designator;Center-X(mm);Center-Y(mm);Layer;Rotation
S2;6.1489;18.1750;TopLayer;0
D4;14.4272;15.5574;TopLayer;90
D1;3.6000;40.0000;TopLayer;90
C9;13.5750;23.9500;TopLayer;90
C8;14.5750;23.9500;TopLayer;90
C7;5.9500;26.6500;TopLayer;90
C6;6.3800;28.0250;TopLayer;0
R1;3.6000;37.2500;TopLayer;90
Y1;12.4277;19.9163;TopLayer;45
U3;8.8750;24.0250;TopLayer;135
R9;10.3500;16.4750;TopLayer;180
U2;7.1550;12.8250;TopLayer;0
U1;5.7750;30.0000;TopLayer;180
U4;7.4250;34.9500;TopLayer;90
S1;6.1511;7.4500;TopLayer;180
R5;10.9500;35.3250;TopLayer;270
R4;10.9500;33.5250;TopLayer;270
R7;14.4000;6.7750;TopLayer;90
R6;12.8000;6.7750;TopLayer;90
R8;14.4250;12.8000;TopLayer;90
R3;10.4140;7.9756;TopLayer;180
R2;10.4250;6.0750;TopLayer;0
P2;16.5100;21.5900;BottomLayer;90
P1;1.3200;21.5900;BottomLayer;270
P3;8.8900;2.9160;TopLayer;90
L1;9.1750;28.6250;TopLayer;180
J1;8.8900;40.5000;TopLayer;180
F1;13.2250;35.0250;TopLayer;270
D3;14.4000;9.6250;TopLayer;90
D2;13.1000;9.6250;TopLayer;90
C4;11.7500;9.6250;TopLayer;90
C3;12.5250;14.1750;TopLayer;90
C2;11.3000;30.7250;TopLayer;90
C1;13.1572;29.5656;TopLayer;270
C15;3.4500;33.8750;TopLayer;270
C14;8.3000;30.3250;TopLayer;90
C13;9.2500;30.9250;TopLayer;90
C12;10.2000;30.9250;TopLayer;90
C11;14.1600;21.7590;TopLayer;135
C10;10.5600;18.0590;TopLayer;315
C5;10.4500;7.0250;TopLayer;180
